parameters | time (second),Apical_voltage | v_mc (volt),Basol_voltage | v_sc (volt),Cell_concentration | Cl_i (M),Cell_concentration | glucose_i (M),Cell_concentration | J_w_A (umol_per_s),Cell_concentration | J_w_B (umol_per_s),Cell_concentration | K_i (M),Cell_concentration | Na_i (M),Cell_concentration | pH_int (per_second),Cell_concentration | v_cell (m3)
240,-0.0331098,-0.0461646,0.0584138,0.0001552,-9.98E-08,-1.04E-07,0.111241,0.0457688,7.19798,1.89E-15
241,-0.03311,-0.0461649,0.0584102,0.0001552,-9.98E-08,-1.04E-07,0.111244,0.0457659,7.19796,1.89E-15
242,-0.0331103,-0.0461653,0.0584066,0.0001552,-9.98E-08,-1.04E-07,0.111247,0.045763,7.19794,1.89E-15
243,-0.0331105,-0.0461657,0.058403,0.000155201,-9.98E-08,-1.04E-07,0.11125,0.0457602,7.19793,1.89E-15
244,-0.0331108,-0.0461661,0.0583994,0.000155201,-9.98E-08,-1.04E-07,0.111253,0.0457574,7.19791,1.89E-15
245,-0.033111,-0.0461664,0.0583958,0.000155201,-9.98E-08,-1.04E-07,0.111256,0.0457546,7.1979,1.89E-15
246,-0.0331113,-0.0461668,0.0583922,0.000155201,-9.98E-08,-1.04E-07,0.111259,0.0457518,7.19788,1.89E-15
247,-0.0331115,-0.0461672,0.0583887,0.000155201,-9.98E-08,-1.04E-07,0.111262,0.045749,7.19786,1.89E-15
248,-0.0331118,-0.0461676,0.0583852,0.000155201,-9.98E-08,-1.04E-07,0.111265,0.0457463,7.19785,1.89E-15
249,-0.033112,-0.0461679,0.0583816,0.000155201,-9.99E-08,-1.04E-07,0.111268,0.0457435,7.19783,1.89E-15
250,-0.0331123,-0.0461683,0.0583781,0.000155201,-9.99E-08,-1.04E-07,0.11127,0.0457408,7.19781,1.89E-15
251,-0.0331125,-0.0461687,0.0583746,0.000155201,-9.99E-08,-1.04E-07,0.111273,0.0457381,7.1978,1.89E-15
252,-0.0331128,-0.0461691,0.0583711,0.000155201,-9.99E-08,-1.04E-07,0.111276,0.0457355,7.19778,1.89E-15
253,-0.033113,-0.0461694,0.0583677,0.000155201,-9.99E-08,-1.04E-07,0.111279,0.0457328,7.19777,1.89E-15
254,-0.0331133,-0.0461698,0.0583642,0.000155201,-9.99E-08,-1.04E-07,0.111282,0.0457302,7.19775,1.89E-15
255,-0.0331135,-0.0461702,0.0583608,0.000155201,-9.99E-08,-1.04E-07,0.111284,0.0457275,7.19773,1.89E-15
256,-0.0331138,-0.0461705,0.0583573,0.000155201,-9.99E-08,-1.04E-07,0.111287,0.0457249,7.19772,1.89E-15
257,-0.0331141,-0.0461709,0.0583539,0.000155202,-9.99E-08,-1.04E-07,0.11129,0.0457223,7.1977,1.89E-15
258,-0.0331143,-0.0461713,0.0583505,0.000155202,-9.99E-08,-1.04E-07,0.111292,0.0457198,7.19769,1.89E-15
259,-0.0331146,-0.0461716,0.0583471,0.000155202,-9.99E-08,-1.04E-07,0.111295,0.0457172,7.19767,1.89E-15
260,-0.0331148,-0.046172,0.0583437,0.000155202,-1.00E-07,-1.04E-07,0.111298,0.0457147,7.19765,1.89E-15
261,-0.0331151,-0.0461724,0.0583403,0.000155202,-1.00E-07,-1.04E-07,0.1113,0.0457121,7.19764,1.88E-15
262,-0.0331153,-0.0461727,0.058337,0.000155202,-1.00E-07,-1.04E-07,0.111303,0.0457096,7.19762,1.88E-15
263,-0.0331156,-0.0461731,0.0583336,0.000155202,-1.00E-07,-1.04E-07,0.111305,0.0457071,7.19761,1.88E-15
264,-0.0331158,-0.0461735,0.0583303,0.000155202,-1.00E-07,-1.04E-07,0.111308,0.0457047,7.19759,1.88E-15
265,-0.0331161,-0.0461738,0.058327,0.000155202,-1.00E-07,-1.04E-07,0.111311,0.0457022,7.19758,1.88E-15
266,-0.0331163,-0.0461742,0.0583236,0.000155202,-1.00E-07,-1.04E-07,0.111313,0.0456998,7.19756,1.88E-15
267,-0.0331166,-0.0461746,0.0583203,0.000155202,-1.00E-07,-1.04E-07,0.111316,0.0456973,7.19755,1.88E-15
268,-0.0331168,-0.0461749,0.058317,0.000155202,-1.00E-07,-1.04E-07,0.111318,0.0456949,7.19753,1.88E-15
269,-0.0331171,-0.0461753,0.0583138,0.000155202,-1.00E-07,-1.04E-07,0.111321,0.0456925,7.19752,1.88E-15
270,-0.0331173,-0.0461756,0.0583105,0.000155202,-1.00E-07,-1.04E-07,0.111323,0.0456902,7.1975,1.88E-15
271,-0.0331176,-0.046176,0.0583072,0.000155202,-1.00E-07,-1.04E-07,0.111326,0.0456878,7.19748,1.88E-15
272,-0.0331179,-0.0461764,0.058304,0.000155203,-1.00E-07,-1.04E-07,0.111328,0.0456854,7.19747,1.88E-15
273,-0.0331181,-0.0461767,0.0583008,0.000155203,-1.00E-07,-1.04E-07,0.11133,0.0456831,7.19745,1.88E-15
274,-0.0331184,-0.0461771,0.0582975,0.000155203,-1.00E-07,-1.04E-07,0.111333,0.0456808,7.19744,1.88E-15
275,-0.0331186,-0.0461774,0.0582943,0.000155203,-1.00E-07,-1.04E-07,0.111335,0.0456785,7.19742,1.88E-15
276,-0.0331189,-0.0461778,0.0582911,0.000155203,-1.00E-07,-1.04E-07,0.111338,0.0456762,7.19741,1.88E-15
277,-0.0331191,-0.0461782,0.0582879,0.000155203,-1.00E-07,-1.04E-07,0.11134,0.0456739,7.19739,1.88E-15
278,-0.0331194,-0.0461785,0.0582848,0.000155203,-1.00E-07,-1.04E-07,0.111342,0.0456717,7.19738,1.88E-15
279,-0.0331196,-0.0461789,0.0582816,0.000155203,-1.00E-07,-1.04E-07,0.111345,0.0456695,7.19736,1.88E-15
280,-0.0331199,-0.0461792,0.0582784,0.000155203,-1.00E-07,-1.04E-07,0.111347,0.0456672,7.19735,1.88E-15
281,-0.0331202,-0.0461796,0.0582753,0.000155203,-1.00E-07,-1.04E-07,0.111349,0.045665,7.19733,1.88E-15
282,-0.0331204,-0.0461799,0.0582722,0.000155203,-1.00E-07,-1.04E-07,0.111352,0.0456628,7.19732,1.88E-15
283,-0.0331207,-0.0461803,0.058269,0.000155203,-1.00E-07,-1.04E-07,0.111354,0.0456607,7.19731,1.88E-15
284,-0.0331209,-0.0461807,0.0582659,0.000155203,-1.00E-07,-1.04E-07,0.111356,0.0456585,7.19729,1.88E-15
285,-0.0331212,-0.046181,0.0582628,0.000155203,-1.00E-07,-1.04E-07,0.111358,0.0456563,7.19728,1.88E-15
286,-0.0331214,-0.0461814,0.0582597,0.000155203,-1.00E-07,-1.04E-07,0.111361,0.0456542,7.19726,1.88E-15
287,-0.0331217,-0.0461817,0.0582567,0.000155203,-1.00E-07,-1.04E-07,0.111363,0.0456521,7.19725,1.88E-15
288,-0.0331219,-0.0461821,0.0582536,0.000155204,-1.00E-07,-1.04E-07,0.111365,0.04565,7.19723,1.88E-15
289,-0.0331222,-0.0461824,0.0582505,0.000155204,-1.00E-07,-1.04E-07,0.111367,0.0456479,7.19722,1.88E-15
290,-0.0331225,-0.0461828,0.0582475,0.000155204,-1.00E-07,-1.04E-07,0.111369,0.0456458,7.1972,1.88E-15
291,-0.0331227,-0.0461831,0.0582444,0.000155204,-1.00E-07,-1.04E-07,0.111371,0.0456438,7.19719,1.88E-15
292,-0.033123,-0.0461835,0.0582414,0.000155204,-1.00E-07,-1.04E-07,0.111374,0.0456417,7.19717,1.88E-15
293,-0.0331232,-0.0461838,0.0582384,0.000155204,-1.00E-07,-1.04E-07,0.111376,0.0456397,7.19716,1.88E-15
294,-0.0331235,-0.0461842,0.0582354,0.000155204,-1.00E-07,-1.04E-07,0.111378,0.0456377,7.19715,1.88E-15
295,-0.0331237,-0.0461845,0.0582324,0.000155204,-1.00E-07,-1.04E-07,0.11138,0.0456356,7.19713,1.88E-15
296,-0.033124,-0.0461849,0.0582294,0.000155204,-1.00E-07,-1.04E-07,0.111382,0.0456337,7.19712,1.88E-15
297,-0.0331243,-0.0461852,0.0582264,0.000155204,-1.00E-07,-1.03E-07,0.111384,0.0456317,7.1971,1.88E-15
298,-0.0331245,-0.0461856,0.0582235,0.000155204,-1.00E-07,-1.03E-07,0.111386,0.0456297,7.19709,1.88E-15
299,-0.0331248,-0.0461859,0.0582205,0.000155204,-1.00E-07,-1.03E-07,0.111388,0.0456278,7.19708,1.88E-15
300,-0.033125,-0.0461863,0.0582176,0.000155204,-1.00E-07,-1.03E-07,0.11139,0.0456258,7.19706,1.88E-15
301,-0.0331253,-0.0461866,0.0582146,0.000155204,-1.00E-07,-1.03E-07,0.111392,0.0456239,7.19705,1.88E-15
302,-0.0331256,-0.046187,0.0582117,0.000155204,-1.00E-07,-1.03E-07,0.111394,0.045622,7.19703,1.88E-15
303,-0.0331258,-0.0461873,0.0582088,0.000155205,-1.00E-07,-1.03E-07,0.111396,0.0456201,7.19702,1.88E-15
304,-0.0331261,-0.0461876,0.0582059,0.000155205,-1.00E-07,-1.03E-07,0.111398,0.0456182,7.19701,1.88E-15
305,-0.0331263,-0.046188,0.058203,0.000155205,-1.00E-07,-1.03E-07,0.1114,0.0456163,7.19699,1.88E-15
306,-0.0331266,-0.0461883,0.0582001,0.000155205,-1.00E-07,-1.03E-07,0.111402,0.0456145,7.19698,1.88E-15
307,-0.0331268,-0.0461887,0.0581972,0.000155205,-1.00E-07,-1.03E-07,0.111404,0.0456126,7.19696,1.88E-15
308,-0.0331271,-0.046189,0.0581944,0.000155205,-1.00E-07,-1.03E-07,0.111406,0.0456108,7.19695,1.88E-15
309,-0.0331274,-0.0461894,0.0581915,0.000155205,-1.00E-07,-1.03E-07,0.111408,0.045609,7.19694,1.88E-15
310,-0.0331276,-0.0461897,0.0581887,0.000155205,-1.00E-07,-1.03E-07,0.11141,0.0456072,7.19692,1.88E-15
311,-0.0331279,-0.04619,0.0581858,0.000155205,-1.00E-07,-1.03E-07,0.111412,0.0456054,7.19691,1.88E-15
312,-0.0331281,-0.0461904,0.058183,0.000155205,-1.00E-07,-1.03E-07,0.111413,0.0456036,7.1969,1.88E-15
313,-0.0331284,-0.0461907,0.0581802,0.000155205,-1.00E-07,-1.03E-07,0.111415,0.0456018,7.19688,1.88E-15
314,-0.0331287,-0.0461911,0.0581774,0.000155205,-1.00E-07,-1.03E-07,0.111417,0.0456001,7.19687,1.88E-15
315,-0.0331289,-0.0461914,0.0581746,0.000155205,-1.00E-07,-1.03E-07,0.111419,0.0455983,7.19686,1.88E-15
316,-0.0331292,-0.0461917,0.0581718,0.000155205,-1.00E-07,-1.03E-07,0.111421,0.0455966,7.19684,1.88E-15
317,-0.0331294,-0.0461921,0.058169,0.000155205,-1.00E-07,-1.03E-07,0.111422,0.0455949,7.19683,1.88E-15
318,-0.0331297,-0.0461924,0.0581662,0.000155205,-1.00E-07,-1.03E-07,0.111424,0.0455932,7.19682,1.88E-15
319,-0.03313,-0.0461928,0.0581635,0.000155206,-1.00E-07,-1.03E-07,0.111426,0.0455915,7.1968,1.88E-15
320,-0.0331302,-0.0461931,0.0581607,0.000155206,-1.00E-07,-1.03E-07,0.111428,0.0455898,7.19679,1.88E-15
321,-0.0331305,-0.0461934,0.058158,0.000155206,-1.00E-07,-1.03E-07,0.11143,0.0455881,7.19678,1.88E-15
322,-0.0331307,-0.0461938,0.0581552,0.000155206,-1.00E-07,-1.03E-07,0.111431,0.0455865,7.19676,1.88E-15
323,-0.033131,-0.0461941,0.0581525,0.000155206,-1.00E-07,-1.03E-07,0.111433,0.0455848,7.19675,1.88E-15
324,-0.0331313,-0.0461944,0.0581498,0.000155206,-1.00E-07,-1.03E-07,0.111435,0.0455832,7.19674,1.88E-15
325,-0.0331315,-0.0461948,0.0581471,0.000155206,-1.00E-07,-1.03E-07,0.111436,0.0455816,7.19672,1.88E-15
326,-0.0331318,-0.0461951,0.0581444,0.000155206,-1.00E-07,-1.03E-07,0.111438,0.0455799,7.19671,1.88E-15
327,-0.033132,-0.0461954,0.0581417,0.000155206,-1.00E-07,-1.03E-07,0.11144,0.0455783,7.1967,1.88E-15
328,-0.0331323,-0.0461958,0.058139,0.000155206,-1.00E-07,-1.03E-07,0.111441,0.0455768,7.19668,1.88E-15
329,-0.0331326,-0.0461961,0.0581363,0.000155206,-1.00E-07,-1.03E-07,0.111443,0.0455752,7.19667,1.88E-15
330,-0.0331328,-0.0461964,0.0581337,0.000155206,-1.00E-07,-1.03E-07,0.111445,0.0455736,7.19666,1.88E-15
331,-0.0331331,-0.0461968,0.058131,0.000155206,-1.00E-07,-1.03E-07,0.111446,0.0455721,7.19664,1.88E-15
332,-0.0331334,-0.0461971,0.0581284,0.000155206,-1.00E-07,-1.03E-07,0.111448,0.0455705,7.19663,1.88E-15
333,-0.0331336,-0.0461974,0.0581257,0.000155206,-1.00E-07,-1.03E-07,0.11145,0.045569,7.19662,1.88E-15
334,-0.0331339,-0.0461978,0.0581231,0.000155206,-1.00E-07,-1.03E-07,0.111451,0.0455675,7.19661,1.88E-15
335,-0.0331341,-0.0461981,0.0581205,0.000155207,-1.00E-07,-1.03E-07,0.111453,0.045566,7.19659,1.88E-15
336,-0.0331344,-0.0461984,0.0581179,0.000155207,-1.00E-07,-1.03E-07,0.111454,0.0455645,7.19658,1.88E-15
337,-0.0331347,-0.0461988,0.0581153,0.000155207,-1.01E-07,-1.03E-07,0.111456,0.045563,7.19657,1.88E-15
338,-0.0331349,-0.0461991,0.0581127,0.000155207,-1.01E-07,-1.03E-07,0.111457,0.0455615,7.19655,1.88E-15
339,-0.0331352,-0.0461994,0.0581101,0.000155207,-1.01E-07,-1.03E-07,0.111459,0.04556,7.19654,1.88E-15
340,-0.0331354,-0.0461998,0.0581075,0.000155207,-1.01E-07,-1.03E-07,0.11146,0.0455586,7.19653,1.88E-15
341,-0.0331357,-0.0462001,0.0581049,0.000155207,-1.01E-07,-1.03E-07,0.111462,0.0455571,7.19652,1.88E-15
342,-0.033136,-0.0462004,0.0581024,0.000155207,-1.01E-07,-1.03E-07,0.111463,0.0455557,7.1965,1.88E-15
343,-0.0331362,-0.0462007,0.0580998,0.000155207,-1.01E-07,-1.03E-07,0.111465,0.0455543,7.19649,1.88E-15
344,-0.0331365,-0.0462011,0.0580973,0.000155207,-1.01E-07,-1.03E-07,0.111466,0.0455529,7.19648,1.88E-15
345,-0.0331367,-0.0462014,0.0580947,0.000155207,-1.01E-07,-1.03E-07,0.111468,0.0455515,7.19647,1.88E-15
346,-0.033137,-0.0462017,0.0580922,0.000155207,-1.01E-07,-1.03E-07,0.111469,0.0455501,7.19645,1.88E-15
347,-0.0331373,-0.046202,0.0580897,0.000155207,-1.01E-07,-1.03E-07,0.111471,0.0455487,7.19644,1.88E-15
348,-0.0331375,-0.0462024,0.0580872,0.000155207,-1.01E-07,-1.03E-07,0.111472,0.0455473,7.19643,1.88E-15
349,-0.0331378,-0.0462027,0.0580847,0.000155207,-1.01E-07,-1.03E-07,0.111474,0.045546,7.19642,1.88E-15
350,-0.0331381,-0.046203,0.0580822,0.000155207,-1.01E-07,-1.03E-07,0.111475,0.0455446,7.1964,1.88E-15
351,-0.0331383,-0.0462033,0.0580797,0.000155207,-1.01E-07,-1.03E-07,0.111476,0.0455433,7.19639,1.88E-15
352,-0.0331386,-0.0462037,0.0580772,0.000155208,-1.01E-07,-1.03E-07,0.111478,0.045542,7.19638,1.88E-15
353,-0.0331388,-0.046204,0.0580747,0.000155208,-1.01E-07,-1.03E-07,0.111479,0.0455407,7.19637,1.88E-15
354,-0.0331391,-0.0462043,0.0580723,0.000155208,-1.01E-07,-1.03E-07,0.111481,0.0455393,7.19636,1.88E-15
355,-0.0331394,-0.0462046,0.0580698,0.000155208,-1.01E-07,-1.03E-07,0.111482,0.045538,7.19634,1.88E-15
356,-0.0331396,-0.046205,0.0580674,0.000155208,-1.01E-07,-1.03E-07,0.111483,0.0455368,7.19633,1.88E-15
357,-0.0331399,-0.0462053,0.0580649,0.000155208,-1.01E-07,-1.03E-07,0.111485,0.0455355,7.19632,1.88E-15
358,-0.0331402,-0.0462056,0.0580625,0.000155208,-1.01E-07,-1.03E-07,0.111486,0.0455342,7.19631,1.88E-15
359,-0.0331404,-0.0462059,0.0580601,0.000155208,-1.01E-07,-1.03E-07,0.111487,0.045533,7.1963,1.88E-15
360,-0.0331407,-0.0462062,0.0580576,0.000155208,-1.01E-07,-1.03E-07,0.111489,0.0455317,7.19628,1.88E-15
361,-0.0331409,-0.0462066,0.0580552,0.000155208,-1.01E-07,-1.03E-07,0.11149,0.0455305,7.19627,1.88E-15
362,-0.0331412,-0.0462069,0.0580528,0.000155208,-1.01E-07,-1.03E-07,0.111491,0.0455292,7.19626,1.88E-15
363,-0.0331415,-0.0462072,0.0580504,0.000155208,-1.01E-07,-1.03E-07,0.111492,0.045528,7.19625,1.88E-15
364,-0.0331417,-0.0462075,0.058048,0.000155208,-1.01E-07,-1.03E-07,0.111494,0.0455268,7.19624,1.88E-15
365,-0.033142,-0.0462078,0.0580457,0.000155208,-1.01E-07,-1.03E-07,0.111495,0.0455256,7.19622,1.88E-15
366,-0.0331422,-0.0462082,0.0580433,0.000155208,-1.01E-07,-1.03E-07,0.111496,0.0455244,7.19621,1.88E-15
367,-0.0331425,-0.0462085,0.0580409,0.000155208,-1.01E-07,-1.03E-07,0.111498,0.0455232,7.1962,1.88E-15
368,-0.0331428,-0.0462088,0.0580386,0.000155208,-1.01E-07,-1.03E-07,0.111499,0.0455221,7.19619,1.88E-15
369,-0.033143,-0.0462091,0.0580362,0.000155209,-1.01E-07,-1.03E-07,0.1115,0.0455209,7.19618,1.88E-15
370,-0.0331433,-0.0462094,0.0580339,0.000155209,-1.01E-07,-1.03E-07,0.111501,0.0455198,7.19616,1.88E-15
371,-0.0331436,-0.0462097,0.0580315,0.000155209,-1.01E-07,-1.03E-07,0.111502,0.0455186,7.19615,1.88E-15
372,-0.0331438,-0.0462101,0.0580292,0.000155209,-1.01E-07,-1.03E-07,0.111504,0.0455175,7.19614,1.88E-15
373,-0.0331441,-0.0462104,0.0580269,0.000155209,-1.01E-07,-1.03E-07,0.111505,0.0455164,7.19613,1.88E-15
374,-0.0331443,-0.0462107,0.0580246,0.000155209,-1.01E-07,-1.03E-07,0.111506,0.0455152,7.19612,1.88E-15
375,-0.0331446,-0.046211,0.0580223,0.000155209,-1.01E-07,-1.03E-07,0.111507,0.0455141,7.19611,1.88E-15
376,-0.0331449,-0.0462113,0.05802,0.000155209,-1.01E-07,-1.03E-07,0.111508,0.045513,7.1961,1.88E-15
377,-0.0331451,-0.0462116,0.0580177,0.000155209,-1.01E-07,-1.03E-07,0.111509,0.0455119,7.19608,1.88E-15
378,-0.0331454,-0.0462119,0.0580154,0.000155209,-1.01E-07,-1.03E-07,0.111511,0.0455109,7.19607,1.88E-15
379,-0.0331457,-0.0462122,0.0580131,0.000155209,-1.01E-07,-1.03E-07,0.111512,0.0455098,7.19606,1.88E-15
380,-0.0331459,-0.0462126,0.0580108,0.000155209,-1.01E-07,-1.03E-07,0.111513,0.0455087,7.19605,1.88E-15
381,-0.0331462,-0.0462129,0.0580086,0.000155209,-1.01E-07,-1.03E-07,0.111514,0.0455077,7.19604,1.88E-15
382,-0.0331464,-0.0462132,0.0580063,0.000155209,-1.01E-07,-1.03E-07,0.111515,0.0455066,7.19603,1.88E-15
383,-0.0331467,-0.0462135,0.058004,0.000155209,-1.01E-07,-1.03E-07,0.111516,0.0455056,7.19601,1.88E-15
384,-0.033147,-0.0462138,0.0580018,0.000155209,-1.01E-07,-1.03E-07,0.111517,0.0455046,7.196,1.88E-15
385,-0.0331472,-0.0462141,0.0579996,0.000155209,-1.01E-07,-1.03E-07,0.111518,0.0455035,7.19599,1.88E-15
386,-0.0331475,-0.0462144,0.0579973,0.000155209,-1.01E-07,-1.03E-07,0.111519,0.0455025,7.19598,1.88E-15
387,-0.0331477,-0.0462147,0.0579951,0.00015521,-1.01E-07,-1.03E-07,0.11152,0.0455015,7.19597,1.88E-15
388,-0.033148,-0.046215,0.0579929,0.00015521,-1.01E-07,-1.03E-07,0.111521,0.0455005,7.19596,1.88E-15
389,-0.0331483,-0.0462154,0.0579907,0.00015521,-1.01E-07,-1.03E-07,0.111522,0.0454995,7.19595,1.88E-15
390,-0.0331485,-0.0462157,0.0579885,0.00015521,-1.01E-07,-1.03E-07,0.111523,0.0454986,7.19594,1.88E-15
391,-0.0331488,-0.046216,0.0579863,0.00015521,-1.01E-07,-1.03E-07,0.111525,0.0454976,7.19592,1.88E-15
392,-0.0331491,-0.0462163,0.0579841,0.00015521,-1.01E-07,-1.03E-07,0.111526,0.0454966,7.19591,1.88E-15
393,-0.0331493,-0.0462166,0.0579819,0.00015521,-1.01E-07,-1.03E-07,0.111527,0.0454957,7.1959,1.88E-15
394,-0.0331496,-0.0462169,0.0579797,0.00015521,-1.01E-07,-1.03E-07,0.111528,0.0454947,7.19589,1.88E-15
395,-0.0331498,-0.0462172,0.0579775,0.00015521,-1.01E-07,-1.03E-07,0.111529,0.0454938,7.19588,1.88E-15
396,-0.0331501,-0.0462175,0.0579754,0.00015521,-1.01E-07,-1.03E-07,0.11153,0.0454929,7.19587,1.88E-15
397,-0.0331504,-0.0462178,0.0579732,0.00015521,-1.01E-07,-1.03E-07,0.11153,0.0454919,7.19586,1.88E-15
398,-0.0331506,-0.0462181,0.0579711,0.00015521,-1.01E-07,-1.03E-07,0.111531,0.045491,7.19585,1.88E-15
399,-0.0331509,-0.0462184,0.0579689,0.00015521,-1.01E-07,-1.03E-07,0.111532,0.0454901,7.19584,1.88E-15
400,-0.0331511,-0.0462187,0.0579668,0.00015521,-1.01E-07,-1.03E-07,0.111533,0.0454892,7.19583,1.88E-15
401,-0.0331514,-0.046219,0.0579646,0.00015521,-1.01E-07,-1.03E-07,0.111534,0.0454883,7.19581,1.88E-15
402,-0.0331517,-0.0462193,0.0579625,0.00015521,-1.01E-07,-1.03E-07,0.111535,0.0454874,7.1958,1.88E-15
403,-0.0331519,-0.0462196,0.0579604,0.00015521,-1.01E-07,-1.03E-07,0.111536,0.0454866,7.19579,1.88E-15
404,-0.0331522,-0.0462199,0.0579583,0.000155211,-1.01E-07,-1.03E-07,0.111537,0.0454857,7.19578,1.88E-15
405,-0.0331525,-0.0462202,0.0579562,0.000155211,-1.01E-07,-1.03E-07,0.111538,0.0454848,7.19577,1.88E-15
406,-0.0331527,-0.0462205,0.0579541,0.000155211,-1.01E-07,-1.03E-07,0.111539,0.045484,7.19576,1.88E-15
407,-0.033153,-0.0462208,0.057952,0.000155211,-1.01E-07,-1.03E-07,0.11154,0.0454831,7.19575,1.88E-15
408,-0.0331532,-0.0462211,0.0579499,0.000155211,-1.01E-07,-1.03E-07,0.111541,0.0454823,7.19574,1.88E-15
409,-0.0331535,-0.0462214,0.0579478,0.000155211,-1.01E-07,-1.03E-07,0.111542,0.0454814,7.19573,1.88E-15
410,-0.0331538,-0.0462218,0.0579457,0.000155211,-1.01E-07,-1.03E-07,0.111542,0.0454806,7.19572,1.88E-15
411,-0.033154,-0.0462221,0.0579436,0.000155211,-1.01E-07,-1.03E-07,0.111543,0.0454798,7.19571,1.88E-15
412,-0.0331543,-0.0462224,0.0579416,0.000155211,-1.01E-07,-1.03E-07,0.111544,0.045479,7.1957,1.88E-15
413,-0.0331545,-0.0462227,0.0579395,0.000155211,-1.01E-07,-1.03E-07,0.111545,0.0454782,7.19569,1.88E-15
414,-0.0331548,-0.046223,0.0579375,0.000155211,-1.01E-07,-1.03E-07,0.111546,0.0454774,7.19568,1.88E-15
415,-0.0331551,-0.0462232,0.0579354,0.000155211,-1.01E-07,-1.03E-07,0.111547,0.0454766,7.19566,1.88E-15
416,-0.0331553,-0.0462235,0.0579334,0.000155211,-1.01E-07,-1.03E-07,0.111548,0.0454758,7.19565,1.88E-15
417,-0.0331556,-0.0462238,0.0579313,0.000155211,-1.01E-07,-1.03E-07,0.111548,0.0454751,7.19564,1.88E-15
418,-0.0331558,-0.0462241,0.0579293,0.000155211,-1.01E-07,-1.03E-07,0.111549,0.0454743,7.19563,1.88E-15
419,-0.0331561,-0.0462244,0.0579273,0.000155211,-1.01E-07,-1.03E-07,0.11155,0.0454735,7.19562,1.88E-15
420,-0.0331564,-0.0462247,0.0579253,0.000155211,-1.01E-07,-1.03E-07,0.111551,0.0454728,7.19561,1.88E-15
421,-0.0331566,-0.046225,0.0579232,0.000155211,-1.01E-07,-1.03E-07,0.111552,0.045472,7.1956,1.88E-15
422,-0.0331569,-0.0462253,0.0579212,0.000155211,-1.01E-07,-1.03E-07,0.111552,0.0454713,7.19559,1.88E-15
423,-0.0331572,-0.0462256,0.0579192,0.000155212,-1.01E-07,-1.03E-07,0.111553,0.0454706,7.19558,1.88E-15
424,-0.0331574,-0.0462259,0.0579172,0.000155212,-1.01E-07,-1.03E-07,0.111554,0.0454698,7.19557,1.88E-15
425,-0.0331577,-0.0462262,0.0579152,0.000155212,-1.01E-07,-1.03E-07,0.111555,0.0454691,7.19556,1.88E-15
426,-0.0331579,-0.0462265,0.0579133,0.000155212,-1.01E-07,-1.03E-07,0.111555,0.0454684,7.19555,1.88E-15
427,-0.0331582,-0.0462268,0.0579113,0.000155212,-1.01E-07,-1.03E-07,0.111556,0.0454677,7.19554,1.88E-15
428,-0.0331585,-0.0462271,0.0579093,0.000155212,-1.01E-07,-1.03E-07,0.111557,0.045467,7.19553,1.88E-15
429,-0.0331587,-0.0462274,0.0579073,0.000155212,-1.01E-07,-1.03E-07,0.111558,0.0454663,7.19552,1.88E-15
430,-0.033159,-0.0462277,0.0579054,0.000155212,-1.01E-07,-1.03E-07,0.111558,0.0454656,7.19551,1.88E-15
431,-0.0331592,-0.046228,0.0579034,0.000155212,-1.01E-07,-1.03E-07,0.111559,0.045465,7.1955,1.88E-15
432,-0.0331595,-0.0462283,0.0579015,0.000155212,-1.01E-07,-1.03E-07,0.11156,0.0454643,7.19549,1.88E-15
433,-0.0331598,-0.0462286,0.0578995,0.000155212,-1.01E-07,-1.03E-07,0.11156,0.0454636,7.19548,1.88E-15
434,-0.03316,-0.0462289,0.0578976,0.000155212,-1.01E-07,-1.03E-07,0.111561,0.045463,7.19547,1.88E-15
